
                time        total_energy      kinetic_energy    potential_energy          temprature
       45.3961410000     -832.5080697796     2197.0312106942    -3042.3799050163     -832.5080697796
       45.5375620000     -843.0478583053     2202.4603895034    -3040.4991587293     -843.0478583053
       45.6789830000     -825.4554098088     2233.2394958066    -3039.3511332995     -825.4554098088
       45.8204040000     -778.6915167795     2291.3023047428    -3040.0719558814     -778.6915167795
       45.9618250000     -713.6579802106     2358.3562725236    -3040.5698146047     -713.6579802106
       46.1032460000     -648.2336073140     2414.5751134245    -3037.5732955383     -648.2336073140
       46.2446670000     -608.0558235433     2438.9736327035    -3037.9737085432     -608.0558235433
       46.3860880000     -600.7031187574     2430.7674727494    -3038.0453117364     -600.7031187574
       46.5275090000     -622.7710060434     2396.1637236661    -3037.8476505833     -622.7710060434
       46.6689300000     -664.5313447458     2359.3146557110    -3037.2873699189     -664.5313447458
       46.8103510000     -683.7921452307     2348.5559149406    -3033.4391531211     -683.7921452307
       46.9517720000     -685.0531266646     2349.1514237195    -3031.1479871122     -685.0531266646
       47.0931930000     -677.5979629578     2358.1136134419    -3031.3830760286     -677.5979629578
       47.2346140000     -667.7835434389     2367.7337002548    -3028.4018236559     -667.7835434389
       47.3760350000     -659.7015848758     2366.0939019125    -3028.5324400784     -659.7015848758
       47.5174560000     -669.1982327666     2350.4312915117    -3025.5000405278     -669.1982327666
